month,new_nodes,new_edges_from_new,correlation,p_value,null_mean,null_std,z_score
2023-01,17,0,0,1.0,0,0,0
2023-02,41,3,0.11952286093343935,0.6366503309123406,0.009125375849035364,0.2439526523148938,0.45253652311967096
2023-03,136,20,0.6115009874897815,2.677982019369227e-07,-0.0007467655360472863,0.12266421251315997,4.9912500189095015
2023-04,84,14,0.33759969281035934,1.3897373584686462e-06,0.003011273991207447,0.0743827936975633,4.49819645359882
2023-05,121,20,0.25576422939581617,1.5247841204804237e-05,0.0017427731124805737,0.060921892784215344,4.169625149091751
2023-06,132,55,0.4397473524091551,2.4070020217946793e-20,-0.0008937089366402838,0.0525886342220353,8.37901702267752
2023-07,162,92,0.4119823740015812,3.265969028071485e-23,-0.0004356997896531648,0.04352653983080689,9.4750943997468
2023-08,82,145,0.4420235977400032,1.4698118227949582e-34,0.0018971177264243452,0.038436507697010514,11.450740620949043
2023-09,65,61,0.28421278860055094,6.942766318953075e-16,-0.0005549614126025908,0.03622242298760734,7.861642776094249
2023-10,125,92,0.3857905957417407,3.101531943896434e-31,0.00039888862300352867,0.035299762887792886,10.917685434425696
2023-11,45,50,0.33386859066895114,1.3901650519273357e-26,-0.00025216664660608753,0.03128645189532131,10.679407125917109
2023-12,42,86,0.3359525030832938,4.278901774364166e-28,-0.0006461658416398273,0.03156228165365642,10.664586059352253
2024-01,43,76,0.27459597741386516,1.1362225313625504e-19,-0.0017095649539370838,0.029920705868716303,9.234593046706644
2024-02,109,36,0.24600435714344965,1.4301933985102734e-16,-0.003118063056992914,0.02930868142302752,8.499953191504199
2024-03,43,58,0.2665770751514508,4.730919693659295e-21,-0.0018546398066869823,0.028803325085827544,9.31946968477669
2024-04,41,57,0.3000187832559382,2.2538875177428013e-27,0.0013864587422147002,0.027815322019820465,10.736252641652898
2024-05,39,8,0.11505496786965434,3.4650867383502495e-05,0.00040863943326525443,0.0274628400301978,4.174598414087013
2024-06,41,23,0.15049480597789022,3.577353694604956e-08,0.0002432410364120891,0.027361384440584866,5.491372897001932
2024-07,56,16,0.16052903352246317,2.330381237218084e-09,-0.00011937468652581345,0.028474263650713795,5.641881039651111
2024-08,28,23,0.1589264818324705,1.6148579981548141e-09,-0.0013132318519904359,0.026657318321688623,6.011096530819776
2024-09,39,22,0.09517062394184297,0.00028029418300580517,0.0004449595979543143,0.025237144230725216,3.7534224743449354
2024-10,58,50,0.2461663132801034,4.943650588723964e-22,6.89135213224193e-05,0.02667805559653983,9.224712755703983
2024-11,28,24,0.2030859528686724,6.840971212711544e-16,0.0013736254421769262,0.024727336371582517,8.157462833656036
2024-12,58,13,0.13928084909551913,2.7679707015576522e-08,-8.091011464871489e-05,0.025491420588447597,5.467006388546463
2025-01,104,29,0.22685990283325635,1.5387494961921135e-20,0.0006861838687203519,0.02426328407073875,9.321644930881346
2025-02,48,22,0.16348907904512797,6.838952616310554e-12,0.000523100398501378,0.02449720343909384,6.652431941948014
2025-03,82,90,0.3191475473068718,1.282770212293607e-43,0.00017367173801216107,0.02423187732114953,13.163399242305504
2025-04,38,57,0.26502346202293126,1.992451385225657e-31,0.0003828110611964919,0.023458088435868885,11.281424387380289
