num_nodes,num_edges,density,num_components,giant_component_size,giant_component_fraction,avg_degree,std_degree,avg_clustering,modularity,num_communities,user_weight,ai_weight,ratio,threshold,ratio_label,file
1408,72192,0.07288234153905795,26,1354,0.9616477272727273,102.54545454545455,127.69789980928611,0.6888450523549763,0.29048773948745776,7,100.0,1.0,100.0,0.8,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.8.json
1215,34927,0.047358322994420374,29,1156,0.951440329218107,57.493004115226334,76.63292703931614,0.6459772869323593,0.3669844088594584,10,100.0,1.0,100.0,0.825,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.825.json
991,14216,0.02898001202743887,38,907,0.9152371342078708,28.690211907164482,39.959463504501755,0.5992161902223,0.46088416040346136,7,100.0,1.0,100.0,0.85,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.85.json
728,4763,0.01799885121755823,41,641,0.8804945054945055,13.085164835164836,17.704174702479254,0.5406234524736581,0.5879036780047461,8,100.0,1.0,100.0,0.875,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.875.json
443,1265,0.01292095237122458,38,364,0.8216704288939052,5.711060948081264,6.854340010404112,0.4204082506490673,0.7316120369949692,12,100.0,1.0,100.0,0.9,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.9.json
199,217,0.011014669306126592,47,33,0.1658291457286432,2.180904522613065,2.123673026041753,0.42287157287157284,0.6446247964488117,5,100.0,1.0,100.0,0.925,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.925.json
46,30,0.028985507246376812,19,6,0.13043478260869565,1.3043478260869565,0.5465132647815886,0.0,0.29947311592352527,2,100.0,1.0,100.0,0.95,user100.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user100.0-ai1.0_t0.95.json
1539,80139,0.06771407640615772,23,1493,0.9701104613385315,104.14424951267057,127.69145819835182,0.6832326893984598,0.32350329049346477,7,4.0,1.0,4.0,0.8,user4.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user4.0-ai1.0_t0.8.json
1360,38316,0.04146214777301649,27,1301,0.9566176470588236,56.34705882352941,74.63068969459319,0.6439426303780412,0.4086785045868667,8,4.0,1.0,4.0,0.825,user4.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user4.0-ai1.0_t0.825.json
1145,15737,0.024028155250862673,35,1069,0.9336244541484716,27.4882096069869,38.49546097929555,0.5866902753522767,0.5100997192991897,11,4.0,1.0,4.0,0.85,user4.0-ai1.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user4.0-ai1.0_t0.85.json
