node_id,month,betweenness,degree,num_neighbor_communities,is_bridge_threshold
geometric-mean-calculation,2023-11,0.5421646102493181,24,4,True
loss-in-llm-training,2023-11,0.005929093073511815,10,2,False
geometric-mean-calculation,2023-12,0.5605593545073416,35,4,True
loss-in-llm-training,2023-12,0.004620653300610034,14,2,False
geometric-mean-calculation,2024-01,0.5195441085610768,42,3,True
loss-in-llm-training,2024-01,0.004954073704044915,17,1,False
geometric-mean-calculation,2024-02,0.5295050895094243,46,4,True
loss-in-llm-training,2024-02,0.0059640942098896955,17,2,False
geometric-mean-calculation,2024-03,0.5051631500706745,52,4,True
loss-in-llm-training,2024-03,0.016923110285755345,20,2,False
geometric-mean-calculation,2024-04,0.508874098867524,53,4,True
loss-in-llm-training,2024-04,0.014517454583757234,20,2,False
geometric-mean-calculation,2024-05,0.5073646545929205,53,4,True
loss-in-llm-training,2024-05,0.010348505450773196,20,2,False
geometric-mean-calculation,2024-06,0.5093127706957925,54,3,True
loss-in-llm-training,2024-06,0.018943243808385853,21,2,False
geometric-mean-calculation,2024-07,0.5054873838486048,54,4,True
loss-in-llm-training,2024-07,0.01921178709972239,22,2,False
geometric-mean-calculation,2024-08,0.504478115829145,54,4,True
loss-in-llm-training,2024-08,0.02002643123948099,23,2,False
geometric-mean-calculation,2024-09,0.4961251321012198,54,5,True
loss-in-llm-training,2024-09,0.04526533731209961,25,3,True
geometric-mean-calculation,2024-10,0.48576782506747834,54,4,True
mcts-code-analysis-suggestions,2024-10,0.3176439805549823,7,2,True
loss-in-llm-training,2024-10,0.33747062914814063,26,4,True
algotree-generate-unit-tests-flattree,2024-10,0.25957664804564273,10,2,True
compile-cuda-program-linux,2024-10,0.12256345177664975,2,2,True
geometric-mean-calculation,2024-11,0.47658971769705344,56,4,True
mcts-code-analysis-suggestions,2024-11,0.308604498113449,9,2,True
loss-in-llm-training,2024-11,0.3161457246465748,28,4,True
algotree-generate-unit-tests-flattree,2024-11,0.24873233582709883,10,2,True
compile-cuda-program-linux,2024-11,0.10399002493765587,2,2,True
geometric-mean-calculation,2024-12,0.47775577811208325,57,4,True
mcts-code-analysis-suggestions,2024-12,0.3310411842337073,9,2,True
loss-in-llm-training,2024-12,0.3388979409872217,28,5,True
algotree-generate-unit-tests-flattree,2024-12,0.26914778325123145,10,2,True
compile-cuda-program-linux,2024-12,0.12132089016511127,2,2,True
geometric-mean-calculation,2025-01,0.4742699678086363,57,4,True
mcts-code-analysis-suggestions,2025-01,0.3389897704958433,9,2,True
loss-in-llm-training,2025-01,0.3425258676281263,28,5,True
algotree-generate-unit-tests-flattree,2025-01,0.2914182692307691,12,2,True
compile-cuda-program-linux,2025-01,0.0933513722458446,2,2,True
geometric-mean-calculation,2025-02,0.4706181596738014,57,4,True
mcts-code-analysis-suggestions,2025-02,0.3696098839350789,9,2,True
loss-in-llm-training,2025-02,0.3623773472380755,28,5,True
algotree-generate-unit-tests-flattree,2025-02,0.3124361702127654,12,2,True
compile-cuda-program-linux,2025-02,0.11480570702210818,2,2,True
geometric-mean-calculation,2025-03,0.45072885413485364,58,4,True
mcts-code-analysis-suggestions,2025-03,0.34766465284084075,9,2,True
loss-in-llm-training,2025-03,0.34351337368977547,29,5,True
algotree-generate-unit-tests-flattree,2025-03,0.29906801893791574,12,2,True
compile-cuda-program-linux,2025-03,0.09050228310502284,2,2,True
geometric-mean-calculation,2025-04,0.445136459017169,59,4,True
mcts-code-analysis-suggestions,2025-04,0.3613494792213195,9,2,True
loss-in-llm-training,2025-04,0.3586205183114674,31,4,True
algotree-generate-unit-tests-flattree,2025-04,0.3128666243263615,12,2,True
compile-cuda-program-linux,2025-04,0.08904656319290466,2,2,True
